Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,148,115,97.000000,1,1,1,169.191,131.466,0.000
1,1,93,346,28.000000,1,1,1,106.316,395.542,0.000
1,1,199,254,44.000000,1,1,1,227.494,290.369,0.000
1,1,152,423,10.000000,1,1,1,173.764,483.567,0.000
1,1,106,418,173.000000,1,1,1,121.178,477.851,0.000
1,1,107,500,73.000000,1,1,1,122.321,571.593,0.000
1,1,41,511,27.000000,1,1,1,46.871,584.168,0.000
1,1,17,634,15.000000,1,1,1,19.434,724.779,0.000
1,1,15,683,107.000000,1,1,1,17.148,780.795,0.000
1,1,72,600,74.000000,1,1,1,82.309,685.911,0.000
1,1,128,719,23.000000,1,1,1,146.328,821.950,0.000
1,1,150,670,62.000000,1,1,1,171.478,765.934,0.000
1,1,119,569,135.000000,1,1,1,136.039,650.472,0.000
1,1,3,142,117.000000,1,1,1,3.430,162.332,0.000
1,1,151,468,60.000000,1,1,1,172.621,535.011,0.000
2,1,18,634,22.000000,1,1,1,20.577,724.779,0.000
2,1,128,718,17.000000,1,1,1,146.328,820.807,0.000
2,1,153,670,48.000000,1,1,1,174.907,765.934,0.000
2,1,108,420,143.000000,1,1,1,123.464,480.138,0.000
2,1,13,683,90.000000,1,1,1,14.861,780.795,0.000
