Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,27,85,52.000000,1,1,1,30.712,96.686,0.000
1,1,51,40,11.000000,1,1,1,58.011,45.499,0.000
1,1,197,119,82.000000,1,1,1,224.083,135.360,0.000
1,1,143,232,37.000000,1,1,1,162.659,263.895,0.000
1,1,115,281,28.000000,1,1,1,130.810,319.631,0.000
1,1,94,306,52.000000,1,1,1,106.923,348.068,0.000
1,1,100,311,109.000000,1,1,1,113.748,353.755,0.000
1,1,41,270,77.000000,1,1,1,46.637,307.119,0.000
1,1,47,483,29.000000,1,1,1,53.461,549.401,0.000
1,1,73,581,52.000000,1,1,1,83.036,660.874,0.000
1,1,189,539,45.000000,1,1,1,214.983,613.100,0.000
1,1,67,344,54.000000,1,1,1,76.211,391.292,0.000
1,1,193,349,128.000000,1,1,1,219.533,396.979,0.000
1,1,36,346,60.000000,1,1,1,40.949,393.567,0.000
1,1,143,52,51.000000,1,1,1,162.659,59.149,0.000
1,1,101,54,20.000000,1,1,1,114.885,61.424,0.000
1,1,175,83,16.000000,1,1,1,199.058,94.411,0.000
1,1,17,157,134.000000,1,1,1,19.337,178.584,0.000
2,1,46,483,68.000000,1,1,1,52.324,549.401,0.000
2,1,191,538,68.000000,1,1,1,217.258,611.962,0.000
2,1,36,345,51.000000,1,1,1,40.949,392.429,0.000
2,1,143,231,30.000000,1,1,1,162.659,262.757,0.000
2,1,50,40,31.000000,1,1,1,56.874,45.499,0.000
2,1,73,580,41.000000,1,1,1,83.036,659.736,0.000
