Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,123,48,112.000000,1,1,1,140.612,54.873,0.000
1,1,12,159,97.000000,1,1,1,13.718,181.766,0.000
1,1,130,176,33.000000,1,1,1,148.614,201.201,0.000
1,1,104,265,31.000000,1,1,1,118.891,302.944,0.000
1,1,145,304,96.000000,1,1,1,165.762,347.528,0.000
1,1,189,339,69.000000,1,1,1,216.062,387.540,0.000
1,1,169,544,131.000000,1,1,1,193.198,621.893,0.000
1,1,103,519,71.000000,1,1,1,117.748,593.313,0.000
1,1,164,589,151.000000,1,1,1,187.482,673.336,0.000
1,1,58,604,129.000000,1,1,1,66.305,690.484,0.000
1,1,55,359,23.000000,1,1,1,62.875,410.403,0.000
1,1,194,255,43.000000,1,1,1,221.778,291.512,0.000
1,1,44,492,46.000000,1,1,1,50.300,562.447,0.000
1,1,137,636,45.000000,1,1,1,156.616,727.066,0.000
1,1,165,660,51.000000,1,1,1,188.626,754.502,0.000
1,1,183,503,74.000000,1,1,1,209.203,575.022,0.000
2,1,57,606,63.000000,1,1,1,65.162,692.770,0.000
2,1,165,660,51.000000,1,1,1,188.626,754.502,0.000
2,1,171,652,33.000000,1,1,1,195.485,745.357,0.000
2,1,167,545,63.000000,1,1,1,190.912,623.036,0.000
2,1,187,504,27.000000,1,1,1,213.776,576.165,0.000
2,1,54,357,12.000000,1,1,1,61.732,408.117,0.000
2,1,45,493,16.000000,1,1,1,51.443,563.590,0.000
